region,district,ward,latitude,longitude,onsite_offsite,bank_type,bank_name,bank_name_short,yr_operation_started,number_atms,services_deposits,services_withdrawls,services_bill_payment,services_buy_airtime,other_services,visa_mastercard,umoja_nmb
Arusha,Arusha,Kati,-3.37341,36.69232,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,28/02/2006,2,Yes,,,,,VISA, 
Kilimanjaro,Moshi Urban,Bondeni,-3.34813,37.34163,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,02/08/2003,1,,Yes,Yes,,,Both, 
Shinyanga,Kahama,Bugarama,-3.29178,32.40634,On-site,Commercial Bank ATM,Stanbic Bank (Tanzania) Limited,Stanbic,19/10/2003,2,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.82007,39.27644,On-site,Commercial Bank ATM,Standard Chartered Bank (Tanzania) Limited,Standard Chartered,06/12/2013,1,,Yes,,,,Mastercard, 
Arusha,Arusha,Kati,-3.37263,36.6927,On-site,Commercial Bank ATM,Standard Chartered Bank (Tanzania) Limited,Standard Chartered,02/09/2010,1,,Yes,Yes,,,VISA, 
Kilimanjaro,Hai,Hai Mjini,-3.35352,37.34018,On-site,Commercial Bank ATM,Standard Chartered Bank (Tanzania) Limited,Standard Chartered,15/11/2010,1,,Yes,,,,VISA, 
Kilimanjaro,Moshi Urban,Mawenzi,-3.34918,37.34163,On-site,Commercial Bank ATM,Standard Chartered Bank (Tanzania) Limited,Standard Chartered,24/05/2000,1,,Yes,Yes,,,VISA, 
Dar es Salaam,Ilala,Ilala,-6.82673,39.26406,On-site,UMOJA SWITCH ATM,Tanzania Postal Bank,Tanzania Postal,12/10/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Manzese,-6.7976,39.22814,On-site,UMOJA SWITCH ATM,Tanzania Postal Bank,Tanzania Postal,03/07/2009,1,,Yes,,,,Mastercard, 
Lindi,Lindi Urban,Makonde,-9.99762,39.71726,On-site,UMOJA SWITCH ATM,Tanzania Postal Bank,Tanzania Postal,02/02/2000,1,Yes,Yes,,,,Both, 
Mbeya,Mbeya Urban,Sisimba,-8.89237,33.44582,On-site,Commercial Bank ATM,Tanzania Postal Bank,Tanzania Postal,01/06/2006,1,,Yes,Yes,Yes,,Both, 
Rukwa,Sumbawanga Urban,Katandala,-7.96469,31.61558,On-site,UMOJA SWITCH ATM,Tanzania Postal Bank,Tanzania Postal,08/01/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82365,39.27222,On-site,UMOJA SWITCH ATM,Tanzania Women Bank,Tanzania Womans,11/01/2013,1,,Yes,,,,Both, 
Mwanza,Nyamagana,Nyamagana,-2.51888,32.90245,On-site,UMOJA SWITCH ATM,Twiga BanCorp Limited,Twiga BanCorp,17/01/2010,1,Yes,,,,,Mastercard, 
Arusha,Arusha,Kati,-3.37402,36.68751,On-site,UMOJA SWITCH ATM,Twiga BanCorp Limited,Twiga BanCorp,27/12/2007,2,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Manzese,-6.79991,39.23845,On-site,UMOJA SWITCH ATM,UBL Bank (Tanzania) Limited,UBL,20/06/2012,1,,Yes,,,,Mastercard, 
Kagera,Bukoba Urban,Birere,-1.3302,31.81151,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,14/02/2013,1,,Yes,,,,VISA, 
Mwanza,Geita,Katoro,-3.0006,31.92982,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,23/03/2013,1,,Yes,,,,Mastercard, 
Kagera,Bukoba Urban,Bakoba,-1.33003,31.8087,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,13/11/2002,1,,Yes,,,,VISA, 
Arusha,Arumeru,Usa River,-3.37364,36.8479,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,10/05/2012,1,Yes,Yes,Yes,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82384,39.27277,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,10/08/2008,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82373,39.27231,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,01/03/2008,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Tabata,-6.82964,39.22485,On-site,UMOJA SWITCH ATM,Umoja Switch ATM,Umoja Switch ATM,22/10/2008,1,,Yes,,,,VISA, 
Dar es Salaam,Temeke,Chang'ombe,-6.84086,39.25115,On-site,Commercial Bank ATM,United Bank for Africa (Tanzania) Limited,United for Africa,16/02/2008,1,,Yes,,,,VISA, 
Dar es Salaam,Temeke,Mbagala,-6.92255,39.27105,Off-site,UMOJA SWITCH ATM,Accessbank (Tanzania) Limited,Access,30/11/2013,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Ilala,Kisutu,-6.81897,39.28718,Off-site,Commercial Bank ATM,Accessbank (Tanzania) Limited,Access,07/12/2011,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Ilala,Kivukoni,-6.81506,39.28824,Off-site,UMOJA SWITCH ATM,Accessbank (Tanzania) Limited,Access,04/01/2011,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Kijitonyama,-6.76995,39.23617,Off-site,Commercial Bank ATM,Accessbank (Tanzania) Limited,Access,18/02/2011,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kivukoni,-6.81428,39.28874,Off-site,UMOJA SWITCH ATM,Advans Bank (Tanzania) Limited,Advans,01/01/2012,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Ilala,Kivukoni,-6.81698,39.28611,Off-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,20/08/2009,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Sinza,-6.79523,39.21862,Off-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,30/07/2008,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Ubungo,-6.7951,39.20743,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,12/10/2010,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Ubungo,-6.79478,39.21574,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,07/06/2006,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Ubungo,-6.79434,39.21596,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,30/04/2006,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Sinza,-6.78912,39.20891,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,06/08/2008,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Magomeni,-6.77776,39.24667,Off-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,23/01/2005,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Kawe,-6.76948,39.19243,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,25/05/2008,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Kawe,-6.73608,39.22313,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,04/04/2010,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Mbezi,-6.72326,39.23038,Off-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,09/04/2013,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Mbezi,-6.71433,39.21099,Off-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,27/09/2010,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Bunju,-6.65965,39.18153,Off-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,15/04/2012,1,,Yes,,,,Both,Umoja Switch 
Dar es Salaam,Ilala,Kivukoni,-6.81448,39.28917,Off-site,UMOJA SWITCH ATM,Amana Bank Limited,Amana,01/01/2011,1,,Yes,,,,,Umoja Switch 
Arusha,Arusha,Kati,-3.37219,36.68458,Off-site,Commercial Bank ATM,Amana Bank Limited,Amana,21/08/2012,1,,Yes,,,,Both,Umoja Switch 
Dar es Salaam,Ilala,Kisutu,-6.81964,39.27995,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,07/01/2006,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Ilala,Kariakoo,-6.81938,39.27231,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,04/02/2013,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Ilala,Kivukoni,-6.81734,39.28869,Off-site,Commercial Bank ATM,Azania Bank Limited,Azania,16/08/2008,2,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Ubungo,-6.79194,39.20888,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,22/08/2011,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Ubungo,-6.78314,39.20792,Off-site,Commercial Bank ATM,Azania Bank Limited,Azania,15/10/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kijitonyama,-6.76706,39.22821,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,16/08/2011,1,,Yes,,,,VISA,Umoja Switch 
Dar es Salaam,Kinondoni,Kijitonyama,-6.76684,39.2286,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,26/05/2012,1,,Yes,,,,,Umoja Switch 
Shinyanga,Kahama,Nyihogo,-3.84019,32.59392,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,02/06/2013,1,,Yes,,,,,Umoja Switch 
Arusha,Arusha,Kati,-3.37176,36.68452,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,02/07/2011,1,,Yes,,,,Both,Umoja Switch 
Kilimanjaro,Hai,Hai Mjini,-3.35518,37.3308,Off-site,Commercial Bank ATM,Azania Bank Limited,Azania,12/08/2010,2,,Yes,,,,,Umoja Switch 
Mwanza,Nyamagana,Nyamagana,-2.52452,32.90054,Off-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,10/10/2011,1,,Yes,,,,,Umoja Switch 
Arusha,Arusha,Kati,-3.37192,36.69338,Off-site,Commercial Bank ATM,Bank M (Tanzania) Limited,Bank M,14/09/2010,1,,Yes,,,,VISA, 
Dar es Salaam,Temeke,Kurasini,-6.85969,39.28503,Off-site,Commercial Bank ATM,Bank of Africa (Tanzania) Limited,BoA,04/11/2013,1,,Yes,,,,VISA,Umoja Switch 
Dar es Salaam,Ilala,Tabata,-6.82962,39.22494,Off-site,Commercial Bank ATM,Bank of Africa (Tanzania) Limited,BoA,14/12/2010,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Ubungo,-6.7921,39.20903,Off-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,04/05/2011,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Sinza,-6.78659,39.22289,Off-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,16/07/2007,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Kinondoni,Mikocheni,-6.70125,39.20696,Off-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,29/06/2008,1,,Yes,,,,,Umoja Switch 
Arusha,Arumeru,Kikwe,-3.40404,36.763,Off-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,11/12/2012,1,,Yes,,,,,Umoja Switch 
Arusha,Arusha,Kati,-3.37358,36.69065,Off-site,UMOJA SWITCH ATM,Bank of Africa (Tanzania) Limited,BoA,24/04/2007,1,,Yes,,,,,Umoja Switch 
Dar es Salaam,Ilala,Kivukoni,-6.81687,39.29127,Off-site,Commercial Bank ATM,Bank of Baroda (Tanzania) Limited,Bank of Baroda,01/09/2010,1,,Yes,,,,Both, 
Arusha,Arusha,Kati,-3.37219,36.69308,Off-site,Community Bank ATM,Bank of Baroda (Tanzania) Limited,Bank of Baroda,14/07/2011,1,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Kisutu,-6.81861,39.28164,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,16/05/2004,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Magomeni,-6.80809,39.25894,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,12/03/2006,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Sinza,-6.7866,39.22268,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,18/01/2007,1,,Yes,,,,Both, 
Arusha,Arusha,Lemara,-3.40672,36.70569,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,01/01/2005,1,,Yes,,,,Both, 
Arusha,Arusha,Kati,-3.37808,36.70092,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,16/06/2008,2,,Yes,,,,Both, 
Arusha,Arusha,Kati,-3.37175,36.68517,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,11/02/2010,1,,Yes,,,,Both, 
Mwanza,Nyamagana,Pamba,-2.51949,32.90046,Off-site,Commercial Bank ATM,Barclays Bank (Tanzania) Limited,Barclays,17/09/2010,2,,Yes,,,,Both, 
Tabora,Tabora Urban,Kanyenye,-5.02292,32.80917,Off-site,Commercial Bank ATM,Commercial Bank of Africa (Tanzania) Limited,CBA,16/09/1999,1,,Yes,,,,Both, 
Lindi,Nachingwea,Nambambo,-10.37405,38.76183,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,10/02/2005,1,,Yes,,,,Both, 
Mbeya,Rungwe,Ikuti,-9.25737,33.64546,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,30/01/2014,1,,Yes,,,,Both, 
Mbeya,Mbeya Urban,Iyunga,-8.9388,33.4161,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,06/07/2010,1,,Yes,,,,Both, 
Mbeya,Mbeya Urban,Sisimba,-8.9128,33.47039,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,27/08/2009,1,,Yes,,,,Both, 
Mbeya,Mbeya Urban,Nsalaga,-8.90043,33.54216,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/02/2009,1,,Yes,,,,Both, 
Iringa,Njombe,Makambako,-8.84765,34.82291,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/10/2007,1,,Yes,,,,Both, 
Morogoro,Kilombero,Ifakara,-8.14245,36.67749,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,26/06/2011,1,,Yes,,,,Both, 
Rukwa,Sumbawanga Urban,Katandala,-7.95597,31.60721,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,06/07/2010,1,,Yes,,,,Both, 
Iringa,Iringa Urban,Mkwawa,-7.76289,35.68671,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/10/2007,1,,Yes,,,,Both, 
Dar es Salaam,Temeke,Mbagala,-6.90729,39.26945,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,14/08/2012,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Ukonga,-6.87898,39.1655,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,24/01/2010,1,,Yes,,,,Both, 
Dar es Salaam,Temeke,Kurasini,-6.84849,39.28186,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,30/04/2010,1,,Yes,,,,Both, 
Dar es Salaam,Temeke,Chang'ombe,-6.84478,39.26822,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,24/05/2005,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Buguruni,-6.83805,39.244,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,14/09/2010,1,,Yes,,,,Mastercard, 
Dar es Salaam,Temeke,Keko,-6.83252,39.26899,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,25/07/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Segerea,-6.82787,39.20228,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,17/12/2007,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Ilala,-6.82671,39.27021,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/08/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Tabata,-6.82452,39.23077,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,24/01/2010,1,,Yes,,,,Both,Umoja Switch 
Dar es Salaam,Temeke,Kigamboni,-6.82137,39.30858,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,03/01/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82048,39.2756,Off-site,Community Bank ATM,CRDB Bank Plc,CRDB,13/05/2012,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.81848,39.28341,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,24/02/2011,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.81658,39.28155,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,16/01/2011,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.81653,39.28241,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,21/02/2011,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kigogo,-6.81614,39.25413,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,13/02/2014,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.81608,39.28304,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/01/2009,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81598,39.29177,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/11/2008,4,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kisutu,-6.81551,39.28857,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/09/2004,3,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81421,39.29403,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,21/11/2009,5,,Yes,,,,Both, 
Dar es Salaam,Ilala,Upanga West,-6.81325,39.28936,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,15/06/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81317,39.29118,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,02/02/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Upanga East,-6.80804,39.27978,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/07/2009,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Magomeni,-6.8076,39.2577,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,10/06/2013,1,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Upanga East,-6.80735,39.28218,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,03/01/2010,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Upanga East,-6.8027,39.27269,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,09/01/2002,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Sinza,-6.80038,39.25319,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/11/2013,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.79541,39.21958,Off-site,Community Bank ATM,CRDB Bank Plc,CRDB,05/02/2014,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Sinza,-6.79539,39.21983,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,26/08/2012,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.79351,39.21797,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/01/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.79222,39.20894,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,18/07/2009,2,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Sinza,-6.78847,39.21585,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,28/05/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kawe,-6.78283,39.20332,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/02/2011,2,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.77862,39.20608,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,28/05/2008,2,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kawe,-6.77838,39.20573,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/03/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Ubungo,-6.77718,39.20696,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/03/2009,2,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Kawe,-6.77407,39.21039,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,06/08/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kijitonyama,-6.77359,39.2335,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/12/2009,1,,Yes,,,,Mastercard, 
Dar es Salaam,Kinondoni,Kawe,-6.77335,39.2196,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,16/11/2006,2,,Yes,,,,Mastercard, 
Dar es Salaam,Kinondoni,Kawe,-6.77304,39.21996,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,30/10/2013,2,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Sinza,-6.77205,39.22151,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/09/2011,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Mikocheni,-6.7693,39.26272,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,28/10/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kawe,-6.7689,39.22595,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/09/2010,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kawe,-6.7666,39.21476,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,27/04/2009,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kimara,-6.71414,39.21096,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/09/2007,1,,Yes,,,,Both, 
Dodoma,Dodoma Urban,Ng'ong'ona,-6.23027,35.83432,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,28/03/2012,1,,Yes,,,,Both, 
Dodoma,Dodoma Urban,Ng'ong'ona,-6.2244,35.83631,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,19/06/2009,1,,Yes,,,,Both, 
Dodoma,Dodoma Urban,Ng'ong'ona,-6.2138,35.79811,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,16/02/2012,1,,Yes,,,,Both, 
Dodoma,Dodoma Urban,Ng'ong'ona,-6.21246,35.79817,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,11/05/2010,1,,Yes,,,,Both, 
Dodoma,Dodoma Urban,Ng'ong'ona,-6.2091,35.8019,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/09/2008,1,,Yes,,,,Both, 
Dodoma,Dodoma Urban,Kikuyu South,-6.19732,35.72916,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,07/08/2010,1,,Yes,,,,Both, 
Tanga,Muheza,Majengo,-5.17656,38.79324,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,29/06/2013,1,,Yes,,,,Both, 
Tabora,Tabora Urban,Kanyenye,-5.02293,32.80932,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/07/2005,1,,Yes,,,,Both, 
Tabora,Tabora Urban,Kanyenye,-5.01915,32.80957,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/07/2005,2,,Yes,,,,Both, 
Tabora,Tabora Urban,Kanyenye,-5.019,32.80957,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,06/09/2006,2,,Yes,,,,Both, 
Kigoma,Kigoma Urban,Maweni,-4.88793,29.62588,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/04/2012,1,,Yes,,,,Both, 
Tabora,Nzega,Nzega Mjini,-4.21453,33.18286,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,03/02/2007,1,,Yes,,,,VISA, 
Kilimanjaro,Same,Same Mjini,-4.0673,37.73666,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,15/06/2009,1,,Yes,,,,Both, 
Shinyanga,Kahama,Kahama Mjini,-3.83755,32.61489,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/08/2008,1,,Yes,,,,Both, 
Kilimanjaro,Moshi Rural,Arusha Chini,-3.534,37.32728,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,13/10/2005,1,,Yes,,,,Both, 
Arusha,Arusha,Engutoto,-3.41301,36.70673,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,12/01/2012,1,,Yes,,,,Both, 
Arusha,Arusha,Lemara,-3.40679,36.70564,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/01/2005,1,,Yes,,,,Both, 
Kilimanjaro,Moshi Rural,Marangu Mashariki,-3.38772,37.54994,Off-site,Community Bank ATM,CRDB Bank Plc,CRDB,04/11/1999,1,,Yes,,,,Both, 
Arusha,Arusha,Kati,-3.37392,36.68553,Off-site,Community Bank ATM,CRDB Bank Plc,CRDB,15/11/2008,2,,Yes,,,,Both, 
Arusha,Arumeru,Akheri,-3.3733,36.78551,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,01/01/2011,1,,Yes,,,,Both, 
Arusha,Arusha,Elerai,-3.36262,36.67071,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,20/05/2011,1,,Yes,,,,Both, 
Kilimanjaro,Moshi Urban,Longuo,-3.33581,37.33777,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,08/04/2005,1,,Yes,,,,VISA, 
Kilimanjaro,Moshi Urban,Longuo,-3.30274,37.32344,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/02/2014,1,,Yes,,,,Both, 
Shinyanga,Maswa,Nyalikungu,-3.18077,33.78543,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,05/06/2013,1,,Yes,,,,Both, 
Mwanza,Ilemela,Ilemela,-2.46967,32.91217,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,26/07/2012,1,,Yes,,,,Both, 
Kagera,Karagwe,Kayanga,-1.53414,31.15466,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,23/01/2005,2,,Yes,,,,Both, 
Kagera,Karagwe,Kayanga,-1.53295,31.15471,On-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,21/09/2013,2,,Yes,,,,Both, 
Kagera,Bukoba Urban,Mimbeni,-1.32962,31.81066,Off-site,Commercial Bank ATM,CRDB Bank Plc,CRDB,03/01/2007,3,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81481,39.28911,Off-site,UMOJA SWITCH ATM,DCB Commercial Bank Plc,DCB,01/01/2006,1,,Yes,,,,,Umoja Switch 
