region,district,ward,latitude,longitude,business_name,financial_institution_name,yr_started,visa,mastercard,other_cards,other_cards_details,business_type,business_type_detail
Mara,Musoma Urban,Mukendo,-1.49836,33.8091,Dickson Modest,CRDB,03/01/2013 00:00,,,,,Duka,
Mwanza,Ilemela,Nyakato,-2.5355,32.93941,Duka,Equit Bank,31/03/2013 00:00,Yes,,,,Duka,
Mwanza,Ilemela,Pasiansi,-2.48112,32.9093,Electronic Shop,CRDB,01/02/2013 00:00,Yes,Yes,,,Electronic Shop,
Arusha,Arusha,Engutoto,-3.42403,36.70584,Exim Pos,Exim Bank,10/01/2013 00:00,,,,,Stationary,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34819,36.48923,Fahari Huduma,CRDB,26/01/2014 00:00,Yes,Yes,,,Duka,
Dodoma,Mpwapwa,Mpwapwa Mjini,-6.34672,36.48627,Fahari Huduma,CRDB,21/11/2013 00:00,Yes,Yes,,,Other,Bank
Dar es Salaam,Temeke,Yombo Vituka,-6.89232,39.2258,Frank Mgumba,CRDB,14/12/2014 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Temeke,Yombo Vituka,-6.89227,39.22576,Frank Mgumba,DCB  Commercial Bank,29/12/2013 00:00,Yes,Yes,,,Duka,
Singida,Singida Urban,Ipembe,-4.81721,34.7522,Gapco Fuel Station,CRDB,20/03/2010 00:00,Yes,Yes,,,Other,Petrol Station
Singida,Singida Urban,Ipembe,-4.81717,34.75215,Gapco Fuel Station,CRDB,20/05/2011 00:00,Yes,Yes,,,Other,Petrol Station
Tanga,Lushoto,Mlalo,-4.58427,38.34951,Gilla Computer Centre,CRDB,04/12/2013 00:00,,,,,Stationary,
Dar es Salaam,Kinondoni,Kimara,-6.78747,39.16647,Green Technical Suppot,Equit Bank,07/01/2014 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Kinondoni,Bunju,-6.6166,39.09726,John Nkini,CRDB,08/09/2013 00:00,,,,,General Dealer,
Singida,Singida Urban,Mandewa,-4.7989,34.7415,Kbh Hotel,CRDB,10/05/2012 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Kinondoni,Mikocheni,-6.76305,39.24966,Mageru Communication,CRDB,31/01/2012 00:00,,,,,Duka,
Mara,Musoma Urban,Mukendo,-1.49511,33.80777,Mnaka,CRDB,12/08/2013 00:00,,Yes,,,General Dealer,
Dar es Salaam,Kinondoni,Mbezi,-6.69973,39.20713,Mwachangala Investiment,Equit Bank,24/06/2012 00:00,Yes,Yes,Yes,,General Dealer,
Kilimanjaro,Mwanga,Mwanga,-3.6564,37.58807,Mwanga Post Office,CRDB,03/04/2012 00:00,Yes,Yes,,,Other,Post Office
Mara,Musoma Urban,Mukendo,-1.4952,33.80778,Nadhifu,CRDB,11/10/2013 00:00,,,,,General Dealer,
Dar es Salaam,Kinondoni,Mbezi,-6.71345,39.21047,Nguruko Bar,CRDB,05/05/2013 00:00,Yes,Yes,Yes,,Bar,
Singida,Singida Urban,Majengo,-4.81937,34.75145,Oryx Fuel Station,CRDB,25/03/2010 00:00,Yes,Yes,,,Other,Petrol Station
Mwanza,Nyamagana,Nyamagana,-2.51934,32.89833,Petrol Station,CRDB,01/01/2010 00:00,Yes,Yes,,,Other,Petrol Station
Arusha,Arusha,Ngarenaro,-3.37195,36.67914,Posta Pos,Tanzania Postal Bank,10/05/2013 00:00,,,,,Stationary,
Mwanza,Nyamagana,Nyamagana,-2.52045,32.9044,Puma Petrol Station,CRDB,10/01/2010 00:00,Yes,Yes,,,Other,Petrol Station
Dar es Salaam,Kinondoni,Msasani,-6.77336,39.27032,Quick Mtsm Supermarket,Equit Bank,05/11/2013 00:00,Yes,Yes,Yes,,Grocery Store,
Singida,Singida Urban,Utemini,-4.80923,34.73713,Rafiki Resort,CRDB,25/04/2012 00:00,Yes,Yes,,,Hotel,
Mara,Musoma Urban,Mukendo,-1.49573,33.80754,Rest Africa Investment,CRDB,12/07/2013 00:00,Yes,Yes,,,Stationary,
Dar es Salaam,Temeke,Chang'ombe,-6.84036,39.25597,Samsung,Barclays Bank,01/05/2013 00:00,Yes,Yes,Yes,,Electronic Shop,
Mwanza,Nyamagana,Nyamagana,-2.51827,32.90063,Serengeti Expeditions,CRDB,01/01/2010 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Temeke,Yombo Vituka,-6.89414,39.23505,Silim Gumba,DCB  Commercial Bank,14/12/2013 00:00,Yes,Yes,,,Duka,
Mwanza,Nyamagana,Nyamagana,-2.52019,32.90266,Super Market,CRDB,01/01/2010 00:00,Yes,Yes,,,Duka,
Arusha,Monduli,Engaruka,-3.38341,36.71125,Trast Trader,CRDB,11/12/2012 00:00,Yes,Yes,,,General Dealer,
